"rep","cell","pen","S_unc","S_dec","S_edge","tr","p_unc","p_R0","p_R2","pe_unc","pe_R0","pe_R2","nb","nbt"
11,"B_p100","firth",13.1400872337259,4.80350752259761,0.372569042653936,5.89183111644912,0.0232091907276083,0.587123260429612,0.390995326205119,0.00460493151233754,0.803094463313315,0.713567843363369,2.57951002885791,3.40126644641953
12,"B_p100","firth",15.7624021071204,5.75369565657345,1.2492480143166,6.0745146610418,0.00825682826055907,0.474258286735911,0.220539615866459,0.000790788705187895,0.462298938641399,0.245999219138738,3.4976082042662,4.68971635331821
13,"B_p100","firth",13.799372565617,2.90465181707579,1.55555959480496,6.05393893094285,0.019909548577915,0.871398105290484,0.744484931840098,0.000319269514877041,0.369150833139545,0.207986296732944,3.43050384074487,4.57293704942904
14,"B_p100","firth",15.0538244924535,2.55377283285782,1.18534259544354,6.11180815405042,0.0118755317176875,0.911051647759851,0.776486175362855,0.000151361885490031,0.470336431951901,0.269318121237438,3.30744911156275,4.47564176329373
15,"B_p100","firth",15.1970469790764,5.81755984985643,3.79655692621234,6.03594475189094,0.0102473579988029,0.460842490759854,0.268836262650654,0.000267465665750755,0.0921572965100789,0.0268696201094119,3.04218480965463,4.02815315513424
16,"B_p100","firth",14.1489749386804,2.04687716741343,1.01970181170606,6.09074516663249,0.0179661954625681,0.952261597900489,0.867126635439918,0.000295557477380082,0.53473587150996,0.326845397868772,3.43967258096259,4.63985758944814
17,"B_p100","firth",21.4486377028976,9.23674934266323,1.28573802577515,5.9679641091872,0.000428075868730282,0.135690546589266,0.0248646518728943,0.000132444438179613,0.433602015402839,0.228280491676829,3.79619939009049,5.12533686374612
18,"B_p100","firth",23.3132131745576,11.0611688577201,8.81381429238155,5.95687913643717,0.000155309120645097,0.0629660106201257,0.00666239931320911,1.13241649168927e-06,0.00321318235392787,4.39071892546217e-05,3.64089309587368,4.91666378266334
19,"B_p100","firth",18.639306562044,6.00906717484245,1.4172999316896,5.95896405005975,0.00173218377126061,0.425435069839154,0.149391029608866,8.53110397391887e-05,0.398266897324408,0.19368025576152,3.16153569823229,4.29896813465962
20,"B_p100","firth",20.1743690764639,8.28758907229725,1.31271630544007,5.94359868252759,0.000794452176827276,0.193336905799412,0.0428328235459086,0.000202959417505588,0.441439818914089,0.247325470547708,3.05418798950456,4.11909643179542
21,"B_p100","firth",15.2837783634238,4.39491268774871,2.10100669582684,5.76547349150516,0.00724340193857098,0.633692451656211,0.371773387130191,0.000191030062353437,0.254673475142913,0.0906339970242894,3.25069172496493,4.37175616499021
22,"B_p100","firth",19.3647505763818,6.05617737458903,1.69813395287012,6.0862063650197,0.00146090506738705,0.435885607042529,0.168151623438018,8.21014128495889e-05,0.345297701098991,0.141110991484625,3.14477776120311,4.25854255318874
23,"B_p100","firth",25.6334123464083,13.727592879687,10.9423808190462,5.92654872110752,4.47276935818808e-05,0.0185360575962988,0.00116624818219946,5.26272378453818e-07,0.000994876940186629,9.79212752372227e-06,3.41420162372656,4.58331102750925
24,"B_p100","firth",21.3647489146887,7.88238680551238,2.0988614054989,5.73431605110211,0.00034276437926406,0.202619275094459,0.0232183775618424,4.15783265033109e-05,0.262180978299583,0.0627474375490267,4.70186471908336,6.48995111113708
25,"B_p100","firth",25.3831498891285,8.30862097382733,4.29155152077201,6.1400599420608,8.42060773078579e-05,0.2120267923949,0.015661275560784,5.35941467649792e-07,0.0589081607198508,0.0018501789362515,4.6591200897506,6.53035223791048
26,"B_p100","firth",17.6703300381246,5.38655799923374,1.81883759178347,5.9405849147126,0.00275275733755564,0.507634353671288,0.244776599876107,0.000128753464414544,0.313028522722366,0.133101176949825,3.65681009143979,4.92817565043085
27,"B_p100","firth",19.2100547350268,5.94106555778048,4.88260534404271,6.06927119065418,0.00158280218067142,0.448252858159492,0.160314633905301,1.62505336211982e-05,0.0481170621759037,0.00336946822586104,3.7769142003291,5.14751802465666
28,"B_p100","firth",21.7468149533282,10.2136511951569,5.20955920117273,6.07621179318572,0.000442011027011913,0.0982369593818886,0.0120084540902419,1.74162243787856e-05,0.0361057159726083,0.00197518373891636,3.85345565184039,5.22729980708902
29,"B_p100","firth",19.8742245138937,7.34430371123778,4.59876457552025,5.84776227778502,0.000801796653602693,0.261285067703579,0.0632636832015607,1.36017364437135e-05,0.0497991657953846,0.00435909816002367,3.53542638949239,4.78538434207817
30,"B_p100","firth",17.2793236829104,6.44686493221247,2.94140993820075,5.99984035143558,0.00369203702880794,0.376128081105105,0.15106548134262,0.000167231267508283,0.155473504328186,0.0438678428719066,3.35414531866953,4.4983124199762
31,"B_p100","firth",18.6076177542036,7.79920758766149,3.07179978858507,5.97298374223053,0.00177200501783281,0.23484738781791,0.077464614680973,0.000170355403888323,0.143245852072262,0.0428813006821787,3.00390795132489,4.00992073981333
32,"B_p100","firth",12.4676466226186,2.51962906345431,0.884432593619267,6.00976307178769,0.0357065626570959,0.909512879542598,0.796188496137543,0.000851999356633604,0.576958686569304,0.40573428928955,3.20837040644709,4.28755598397406
33,"B_p100","firth",12.4868991349722,4.64928561261416,0.0325063666689519,6.04679213856038,0.0361003510411663,0.629094557395214,0.469175857166963,0.00850593462040705,0.989616795410445,0.981902509468201,2.62682199374378,3.44568908256182
34,"B_p100","firth",13.7391100688241,1.83417145752026,0.424930215287162,6.11528279464604,0.0223437633572572,0.966209461438902,0.890384889716489,0.000469681177241887,0.780149806290878,0.625481525126622,3.64480575476579,4.96158628925845
35,"B_p100","firth",15.3256298686257,6.28069646011527,0.828477893924254,6.06351082845826,0.0101003391861623,0.404538363371031,0.185108989060786,0.0019938334908125,0.601827268227991,0.431049145959046,3.40919785714723,4.55602732482558
36,"B_p100","firth",15.7735772908116,7.32581739561416,3.48548404345014,6.03563262176178,0.00793274493419105,0.285308213760801,0.104457390264871,0.000804714610542989,0.116744062667115,0.0296786736189852,3.43034365298148,4.58240562876104
37,"B_p100","firth",16.6110927547043,3.75390375293751,2.27786089573059,5.9594370016773,0.00490604924526017,0.750735292665357,0.490825276227696,6.4652830549683e-05,0.238603732158219,0.0815057307313889,3.47974395123207,4.71944376874051
38,"B_p100","firth",19.455279589647,8.69211506505925,1.41600927782213,6.10291459539137,0.00144717409958561,0.18060905139444,0.044050981866401,0.000428146743600921,0.411692903443391,0.215811782493927,3.29043280254475,4.43047732855233
