"rep","cell","dep","rel","deg","rho_hat","calm_hl","calm_edge","calm_e3","pp_hl","pp_edge"
102,"B_p40","offindex",0.7,2,0.67614168733824,0.318192749099448,0.719453346322507,0.131045874609028,0.3075,0.12
103,"A_p5","index",0.4,3,0.935930087569887,0.541929473093797,0.436148860883277,0.436148860883277,0.5925,0.455
103,"A_p5","index",0.7,3,0.919303195267468,0.0844231434133929,0.00454043234051182,0.00454043234051182,0.0975,0.005
103,"A_p5","null",0,3,0.949086818288268,0.617463834681656,0.851869221998009,0.851869221998009,0.64,0.83
103,"A_p5","offindex",0.4,3,0.92972752258771,0.0150595667781859,0.194205071743401,0.194205071743401,0.0175,0.2025
103,"A_p5","offindex",0.7,3,0.904665175737369,0.105633682025846,0.0539113855873884,0.0539113855873884,0.075,0.0325
103,"B_p100","index",0.4,2,0.691174316690892,0.633150337539134,0.784986698799596,0.621375542631182,0.605,0.4925
103,"B_p100","index",0.7,2,0.651343124386723,0.0815770771600739,0.303444868913161,0.255293194228141,0.07,0.1475
103,"B_p100","null",0,2,0.738202201454839,0.0429569164616443,0.86838351288145,0.0293748966582904,0.0475,0.0225
103,"B_p100","offindex",0.4,3,0.769396981948526,0.161498394701733,0.5204991307266,0.5204991307266,0.15,0.4225
103,"B_p100","offindex",0.7,3,0.820892574251074,0.548663420984501,0.415127175736475,0.415127175736475,0.5275,0.3325
103,"B_p160","index",0.4,2,0.678477402016681,0.633078289650997,0.544474893104548,0.76950894367931,0.4675,0.655
103,"B_p160","index",0.7,2,0.665392343523719,0.856545714992809,0.492535362916316,0.844713972444197,0.775,0.7275
103,"B_p160","null",0,2,0.712927296891679,0.687414632162495,0.10775690691953,0.394307263602008,0.5325,0.225
103,"B_p160","offindex",0.4,3,0.766137003284927,0.28159307009805,0.311884167660815,0.311884167660815,0.1825,0.245
103,"B_p160","offindex",0.7,2,0.717799825748735,0.355654796988171,0.0560079088784324,0.198007301871562,0.2975,0.1475
103,"B_p40","index",0.4,2,0.700288643194638,0.55152595318224,0.981988609195148,0.963578355964246,0.575,0.975
103,"B_p40","index",0.7,2,0.652912062503403,0.181005793304318,0.754307440546365,0.943013610516575,0.2025,0.9375
103,"B_p40","null",0,3,0.768346107221529,0.149314649125683,0.502745489898017,0.502745489898017,0.22,0.5525
103,"B_p40","offindex",0.4,3,0.780045931884353,0.188121658113402,0.76455047057627,0.76455047057627,0.2375,0.7925
103,"B_p40","offindex",0.7,2,0.726306528722068,0.148037128763316,0.816954895870361,0.363758850641335,0.1425,0.3825
104,"A_p5","index",0.4,3,0.913851706330313,0.218530336971101,0.603680301771082,0.603680301771082,0.205,0.5975
104,"A_p5","index",0.7,3,0.876273237948032,0.0746000584524826,0.356101562921552,0.356101562921552,0.055,0.325
104,"A_p5","null",0,3,0.92993259085187,0.646090225910816,0.800456778604988,0.800456778604988,0.62,0.8
104,"A_p5","offindex",0.4,3,0.923624285075659,0.499115206423152,0.886361348574197,0.886361348574197,0.49,0.8725
104,"A_p5","offindex",0.7,3,0.874758130875888,0.0635900757281825,0.145917920378036,0.145917920378036,0.0525,0.1075
104,"B_p100","index",0.4,2,0.599360986676237,0.35544684769414,0.346368620903419,0.679976078642021,0.23,0.5175
104,"B_p100","index",0.7,2,0.580921924451915,0.573590956055409,0.107337944694634,0.290146762741041,0.435,0.13
104,"B_p100","null",0,2,0.662341030205186,0.326594238002474,0.820464267255527,0.846801880382747,0.2775,0.755
104,"B_p100","offindex",0.4,2,0.689974566349961,0.620343417164297,0.812128620917348,0.200534702817805,0.5975,0.1175
104,"B_p100","offindex",0.7,2,0.62317889917183,0.294352982398533,0.932369032232691,0.179582809200087,0.24,0.1175
104,"B_p160","index",0.4,2,0.505645192400651,0.211628597963357,0.0133070246373564,0.121524002822075,0.0975,0.04
104,"B_p160","index",0.7,2,0.381351740552282,0.105984485961896,0.0139285230958752,0.0558232476128562,0.0425,0.0125
104,"B_p160","null",0,2,0.632967358112851,0.209486905520241,0.0435904392856189,0.17252714189792,0.1075,0.1
104,"B_p160","offindex",0.4,2,0.667336096034466,0.268472852838912,0.884262440614214,0.175846563696589,0.23,0.1525
104,"B_p160","offindex",0.7,2,0.610682724973688,0.329746605485724,0.725253094696356,0.622804074446472,0.22,0.5925
104,"B_p40","index",0.4,3,0.794632037356651,0.795717572840955,0.946849679656412,0.946849679656412,0.805,0.9475
104,"B_p40","index",0.7,3,0.773827607930129,0.540762990571266,0.595830858431862,0.595830858431862,0.5275,0.47
104,"B_p40","null",0,3,0.767612926961909,0.640449825675646,0.914711411199437,0.914711411199437,0.66,0.91
104,"B_p40","offindex",0.4,2,0.697242855934551,0.472545980063768,0.825214880435982,0.705964755788248,0.4725,0.635
104,"B_p40","offindex",0.7,2,0.713131803451231,0.955342038721928,0.317219071318885,0.539607390461333,0.975,0.5225
105,"A_p5","index",0.4,3,0.934476360604993,0.901976310880516,0.34303693729794,0.34303693729794,0.9025,0.3275
105,"A_p5","index",0.7,3,0.922542914162416,0.723792954823411,0.501288385959622,0.501288385959622,0.6525,0.46
